"run","mode","score","items","orders","idle","avg_ms","rounds","first_score_round","blocked_avg","wait_no_assign_avg","no_assign_bots_avg","assignment_churn_avg","secondary_used_avg","primary_miss_avg","mean_target_dist_avg","dropoff_zone_density_avg","corridor_density_avg"
"run_20260308_041445","committed","49","24","5","1376","7,56852366668075","300","31","1,08","3,84333333333333","3,84333333333333","0,34","0","22,11","2,67133333333333","0,176333333333333","0,125333333333334"
"run_20260308_041609","committed","13","8","1","614","9,04505066666995","300","33","0,23","1,91666666666667","1,91666666666667","0,07","0","25,0926666666667","4,15433333333333","0,0693333333333332","0,146666666666666"
"run_20260308_042145","committed","48","23","5","1096","8,59207166654718","300","31","0,873333333333333","3,08","3,08","0,176666666666667","0","20,982","3,1","0,0750000000000002","0,212"
"run_20260308_042314","committed","49","24","5","1376","7,53680566662903","300","31","1,08","3,84333333333333","3,84333333333333","0,34","0","22,11","2,67133333333333","0,176333333333333","0,125333333333334"
"run_20260308_042438","committed","49","24","5","1376","7,48531466662826","300","31","1,08","3,84333333333333","3,84333333333333","0,34","0","22,11","2,67133333333333","0,176333333333333","0,125333333333334"
"run_20260308_041751","optimistic","3","3","0","2620","6,20722266678058","300","30","1,19","7,66333333333333","7,66333333333333","0,89","0","110,443333333333","3,41833333333331","0,004","0,105333333333334"
"run_20260308_041915","optimistic","3","3","0","2620","6,2258373332952","300","30","1,19","7,66333333333333","7,66333333333333","0,89","0","110,443333333333","3,41833333333331","0,004","0,105333333333334"
"run_20260308_042603","optimistic","3","3","0","2620","6,30194933330737","300","30","1,19","7,66333333333333","7,66333333333333","0,89","0","110,443333333333","3,41833333333331","0,004","0,105333333333334"
"run_20260308_042729","optimistic","3","3","0","2620","6,34592733331374","300","30","1,19","7,66333333333333","7,66333333333333","0,89","0","110,443333333333","3,41833333333331","0,004","0,105333333333334"
"run_20260308_042852","optimistic","3","3","0","2620","6,22481300006863","300","30","1,19","7,66333333333333","7,66333333333333","0,89","0","110,443333333333","3,41833333333331","0,004","0,105333333333334"
