group,run,score,items,orders,idle_steps,wait_spacing,queue_violation,rejoin_backlog_avg,rejoin_denials,branch_rate,deliver_bots_avg,drop_off_actions,failure_reasons
baseline,run_20260308_201700,13,8,1,613,0.0,0.0,0.0,0.0,0.0,0.0,8.0,
baseline,run_20260308_201825,40,20,4,1490,0.0,0.0,0.0,0.0,0.0,0.0,14.0,
baseline,run_20260308_201955,40,20,4,1490,0.0,0.0,0.0,0.0,0.0,0.0,14.0,
baseline,run_20260308_202120,21,11,2,362,0.0,0.0,0.0,0.0,0.0,0.0,15.0,
baseline,run_20260308_202243,40,20,4,1485,0.0,0.0,0.0,0.0,0.0,0.0,14.0,
baseline,run_20260308_202415,21,11,2,360,0.0,0.0,0.0,0.0,0.0,0.0,15.0,
baseline,run_20260308_202554,40,20,4,1474,0.0,0.0,0.0,0.0,0.0,0.0,14.0,
baseline,run_20260308_202729,30,15,3,813,0.0,0.0,0.0,0.0,0.0,0.0,15.0,
baseline,run_20260308_202906,28,13,3,248,0.0,0.0,0.0,0.0,0.0,0.0,24.0,
baseline,run_20260308_203040,12,7,1,323,0.0,0.0,0.0,0.0,0.0,0.0,23.0,
conveyor,run_20260308_203339,0,0,0,390,37.0,0.0,1.61,0.0,0.13333333333333333,1.8466666666666667,0.0,spacing_guard_dominant_wait|delivery_conversion_low
conveyor,run_20260308_203501,0,0,0,839,330.0,0.0,0.4266666666666667,0.0,0.16666666666666666,1.8466666666666667,0.0,spacing_guard_dominant_wait|delivery_conversion_low
conveyor,run_20260308_203644,0,0,0,390,37.0,0.0,1.61,0.0,0.13333333333333333,1.8466666666666667,0.0,spacing_guard_dominant_wait|delivery_conversion_low
conveyor,run_20260308_203807,0,0,0,390,37.0,0.0,1.61,0.0,0.13333333333333333,1.8466666666666667,0.0,spacing_guard_dominant_wait|delivery_conversion_low
conveyor,run_20260308_203934,0,0,0,758,213.0,0.0,0.76,7.0,0.125,1.7833333333333334,0.0,spacing_guard_dominant_wait|delivery_conversion_low
conveyor,run_20260308_204109,0,0,0,390,37.0,0.0,1.61,0.0,0.13333333333333333,1.8466666666666667,0.0,spacing_guard_dominant_wait|delivery_conversion_low
conveyor,run_20260308_204233,2,2,0,662,186.0,0.0,1.2166666666666666,0.0,0.11764705882352941,1.8066666666666666,14.0,spacing_guard_dominant_wait
conveyor,run_20260308_204415,2,2,0,636,178.0,0.0,1.09,2.0,0.3333333333333333,1.47,15.0,spacing_guard_dominant_wait
conveyor,run_20260308_204612,1,1,0,857,264.0,0.0,0.43666666666666665,0.0,0.3333333333333333,1.7466666666666666,7.0,spacing_guard_dominant_wait
conveyor,run_20260308_204753,0,0,0,390,37.0,0.0,1.61,0.0,0.13333333333333333,1.8466666666666667,0.0,spacing_guard_dominant_wait|delivery_conversion_low
