run_name,artifact_path,score,items_delivered,orders_completed,rounds_played,idle_steps,collisions_avoided,avg_decision_ms,avg_orbit_bots,avg_deliver_bots,deliver_rounds,hybrid_rounds,first_delivery_round,first_completed_order_round,pick_active,pick_preview,orbit_min_gap_avg,gap1_rounds,gap2_rounds,gap3plus_rounds,collapsed_orbit_rounds_proxy,onloop_cw_moves,onloop_ccw_moves,onloop_stay,onloop_other,spacing_guard_waits,collision_waits,no_assignment_waits,dropoff_queue_avg_proxy,dropoff_queue_peak_proxy,config_sha1,code_version_recorded,return_to_ring_failures_direct
run_20260307_224350,C:\Users\Exempel\Desktop\Seed\bot_v.1\.seed_artifacts\nmiai\live_screen_expert_orbit_collect_20260307\expert\run_20260307_224350,0,0,0,300,2783,1160,1.321697,0.0,0.0,0,0,,,4,3,1.986,4,272,0,4,0,12,1617,0,0,1160,1623,0,0,23099c694629,False,NA_not_recorded
run_20260307_224730,C:\Users\Exempel\Desktop\Seed\bot_v.1\.seed_artifacts\nmiai\live_screen_expert_orbit_collect_20260307\expert\run_20260307_224730,0,0,0,300,1623,0,1.236433,0.0,0.0,0,0,,,4,3,1.986,4,272,0,4,0,12,1617,0,0,0,1623,0,0,23099c694629,False,NA_not_recorded
run_20260307_224857,C:\Users\Exempel\Desktop\Seed\bot_v.1\.seed_artifacts\nmiai\live_screen_expert_orbit_collect_20260307\expert\run_20260307_224857,0,0,0,300,90,0,1.673512,0.0,0.0,0,0,,,4,3,1.007,271,0,1,271,646,125,1542,0,0,0,90,0,0,23099c694629,False,NA_not_recorded
run_20260307_225143,C:\Users\Exempel\Desktop\Seed\bot_v.1\.seed_artifacts\nmiai\live_screen_expert_orbit_collect_20260307\expert\run_20260307_225143,0,0,0,300,1314,0,1.117844,0.0,0.0,0,0,,,4,3,1.014,272,4,0,272,14,29,2634,0,0,0,1314,0,0,23099c694629,False,NA_not_recorded
run_20260307_225305,C:\Users\Exempel\Desktop\Seed\bot_v.1\.seed_artifacts\nmiai\live_screen_expert_orbit_collect_20260307\expert\run_20260307_225305,0,0,0,300,291,0,1.110309,0.0,0.0,0,0,,,4,3,1.051,262,14,0,262,304,1181,1192,0,0,0,291,0,0,23099c694629,False,NA_not_recorded
run_20260307_225429,C:\Users\Exempel\Desktop\Seed\bot_v.1\.seed_artifacts\nmiai\live_screen_expert_orbit_collect_20260307\expert\run_20260307_225429,0,0,0,300,1314,0,1.109553,0.0,0.0,0,0,,,4,3,1.014,272,4,0,272,14,29,2634,0,0,0,1314,0,0,23099c694629,False,NA_not_recorded
run_20260307_225837,C:\Users\Exempel\Desktop\Seed\bot_v.1\.seed_artifacts\nmiai\live_screen_expert_orbit_collect_20260307\expert\run_20260307_225837,0,0,0,300,2000,0,1.072829,0.0,0.0,0,0,,,4,3,1.014,272,4,0,272,180,135,2362,0,1308,0,692,0,0,23099c694629,False,NA_not_recorded
run_20260307_230008,C:\Users\Exempel\Desktop\Seed\bot_v.1\.seed_artifacts\nmiai\live_screen_expert_orbit_collect_20260307\expert\run_20260307_230008,0,0,0,300,1267,0,1.203809,0.0,0.0,0,0,,,8,3,1.022,270,6,0,270,152,231,2145,0,556,0,711,0.04,1,23099c694629,False,NA_not_recorded
run_20260307_230217,C:\Users\Exempel\Desktop\Seed\bot_v.1\.seed_artifacts\nmiai\live_screen_expert_orbit_collect_20260307\expert\run_20260307_230217,0,0,0,300,545,0,1.427958,0.0,0.0,0,0,,,4,3,6,0,0,267,0,0,0,543,0,0,0,545,0,0,23099c694629,False,NA_not_recorded
run_20260307_230350,C:\Users\Exempel\Desktop\Seed\bot_v.1\.seed_artifacts\nmiai\live_screen_expert_orbit_collect_20260307\expert\run_20260307_230350,0,0,0,300,363,0,1.136514,0.0,0.0,0,0,,,4,3,1.043,264,12,0,264,295,1120,1250,0,0,0,363,0,0,23099c694629,False,NA_not_recorded
