timestamp,seed,params_hash,score,orders_completed,items_delivered,steps_used,decision_ms_p95,notes
2026-03-03T05:22:01,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",d7ffbb890840,129,14,59,300,1.0292,baseline canonical=129
2026-03-03T05:22:04,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",afe8c7d3eced,37,4,17,300,1.2053,attempt=2 canonical=37 blocked=1.00 -
2026-03-03T05:22:06,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",1b1c696f4b75,2,0,2,300,1.1503,attempt=3 canonical=2 blocked=0.00 -
2026-03-03T05:22:09,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",b433812a7f45,19,2,9,300,1.4189,attempt=4 canonical=19 blocked=0.00 -
2026-03-03T05:22:12,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",8a6aefb192cc,10,1,5,300,1.3738,attempt=5 canonical=10 blocked=0.00 -
2026-03-03T05:22:15,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",3566f119782d,37,4,17,300,1.2842,attempt=6 canonical=37 blocked=1.00 -
2026-03-03T05:22:18,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",dc0f65b8529b,19,2,9,300,1.3686,attempt=7 canonical=19 blocked=0.00 -
2026-03-03T05:22:21,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",1c912e61779a,36,4,16,300,1.2197,attempt=8 canonical=36 blocked=0.00 -
2026-03-03T05:22:24,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",94f9e60ef8b3,2,0,2,300,1.1543,attempt=9 canonical=2 blocked=0.00 -
2026-03-03T05:22:26,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",d7c62c540e59,46,5,21,300,1.2168,attempt=10 canonical=46 blocked=1.00 -
2026-03-03T05:22:29,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",1ed7914186c9,79,8,39,300,1.4905,attempt=11 canonical=79 blocked=1.00 -
2026-03-03T05:22:32,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",441f5694109f,2,0,2,300,1.2169,attempt=12 canonical=2 blocked=0.00 -
2026-03-03T05:22:35,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",36f83ddd06fe,19,2,9,300,1.4108,attempt=13 canonical=19 blocked=0.00 -
2026-03-03T05:22:37,"7002,7003,7004,7005,7006,7007,7008,7009,7010,7011",65fb63018795,2,0,2,300,0.8462,attempt=14 canonical=2 blocked=0.00 -
